EQUIPO_LOCAL;EQUIPO_VISITANTE
At. Madrid;Mallorca
At. Madrid;Mérida
At. Madrid;Murcia
At. Madrid;Numancia
At. Madrid;Osasuna
At. Madrid;Oviedo
At. Madrid;Rac. Santander
At. Madrid;Rayo Vallecano
At. Madrid;Real Madrid
At. Madrid;Real Sociedad
At. Madrid;Rec. Huelva
At. Madrid;Sabadell
At. Madrid;Salamanca
At. Madrid;Sevilla
At. Madrid;Sporting Gijón
At. Madrid;Tenerife
At. Madrid;Univ.Las Palma
At. Madrid;Valencia
At. Madrid;Valladolid
At. Madrid;Villarreal
At. Madrid;Xerez
At. Madrid;Zaragoza
Ath. Bilbao B;Alavés
Ath. Bilbao B;Albacete
Ath. Bilbao B;Alcorcón
Ath. Bilbao B;Algeciras
Ath. Bilbao B;Almería
Ath. Bilbao B;At. Madrid B
Ath. Bilbao B;Avilés
Ath. Bilbao B;Badajoz
Ath. Bilbao B;Barcelona B
Ath. Bilbao B;Betis
Ath. Bilbao B;Burgos (Real)
Ath. Bilbao B;Cádiz
Ath. Bilbao B;Calvo Sotelo
Ath. Bilbao B;Cartagena F.C.
Ath. Bilbao B;Castellón
Ath. Bilbao B;Celta
Ath. Bilbao B;Compostela
Ath. Bilbao B;Dptivo. Coruña
Ath. Bilbao B;Écija
Ath. Bilbao B;Éibar
Ath. Bilbao B;Elche
Ath. Bilbao B;Espanyol
Ath. Bilbao B;Extremadura
Ath. Bilbao B;Figueres
Ath. Bilbao B;Getafe
Ath. Bilbao B;Girona
Ath. Bilbao B;Granada
Ath. Bilbao B;Hércules
Ath. Bilbao B;Huesca
Ath. Bilbao B;Las Palmas
Ath. Bilbao B;Leganés
Ath. Bilbao B;Levante
Ath. Bilbao B;Linares
Ath. Bilbao B;Llagostera
Ath. Bilbao B;Lleida
Ath. Bilbao B;Logroñés
Ath. Bilbao B;Lorca
Ath. Bilbao B;Lugo
Ath. Bilbao B;Málaga (C.D.)
Ath. Bilbao B;Mallorca
Ath. Bilbao B;Marbella
Ath. Bilbao B;Mérida
Ath. Bilbao B;Murcia
Ath. Bilbao B;Numancia
Ath. Bilbao B;Orihuela
Ath. Bilbao B;Osasuna
Ath. Bilbao B;Ourense
Ath. Bilbao B;Oviedo
Ath. Bilbao B;Palamós
Ath. Bilbao B;Palencia
Ath. Bilbao B;Rac. Santander
Ath. Bilbao B;Rayo Vallecano
Ath. Bilbao B;Real Madrid B
Ath. Bilbao B;Rec. Huelva
Ath. Bilbao B;Sabadell
Ath. Bilbao B;Salamanca
Ath. Bilbao B;Sestao
Ath. Bilbao B;Tenerife
Ath. Bilbao B;Toledo
Ath. Bilbao B;Valencia
Ath. Bilbao B;Valladolid
Ath. Bilbao B;Villarreal
Ath. Bilbao B;Xerez
Ath. Bilbao B;Zaragoza
Ath. Bilbao B;Zaragoza B
Ath. Bilbao;Alavés
Ath. Bilbao;Albacete
Ath. Bilbao;Almería
Ath. Bilbao;Almería (A.D.)
Ath. Bilbao;At. Madrid
Ath. Bilbao;Barcelona
Ath. Bilbao;Betis
Ath. Bilbao;Burgos
Ath. Bilbao;Burgos (Real)
Ath. Bilbao;Cádiz
Ath. Bilbao;Castellón
Ath. Bilbao;Celta
Ath. Bilbao;Compostela
Ath. Bilbao;Córdoba
Ath. Bilbao;Dptivo. Coruña
Ath. Bilbao;Éibar
Ath. Bilbao;Elche
Ath. Bilbao;Espanyol
Ath. Bilbao;Extremadura
Ath. Bilbao;Getafe
Ath. Bilbao;Gimn. Tarragon
Ath. Bilbao;Granada
Ath. Bilbao;Hércules
Ath. Bilbao;Las Palmas
Ath. Bilbao;Levante
Ath. Bilbao;Lleida
Ath. Bilbao;Logroñés
Ath. Bilbao;Málaga
Ath. Bilbao;Málaga (C.D.)
Ath. Bilbao;Mallorca
Ath. Bilbao;Mérida
Ath. Bilbao;Murcia
Ath. Bilbao;Numancia
Ath. Bilbao;Osasuna
Ath. Bilbao;Oviedo
Ath. Bilbao;Rac. Santander
Ath. Bilbao;Rayo Vallecano
Ath. Bilbao;Real Madrid
Ath. Bilbao;Real Sociedad
Ath. Bilbao;Rec. Huelva
Ath. Bilbao;Sabadell
Ath. Bilbao;Salamanca
Ath. Bilbao;Sevilla
Ath. Bilbao;Sporting Gijón
Ath. Bilbao;Tenerife
Ath. Bilbao;Valencia
Ath. Bilbao;Valladolid
Ath. Bilbao;Villarreal
Ath. Bilbao;Xerez
Ath. Bilbao;Zaragoza
Avilés;Albacete
Avilés;Ath. Bilbao B
Avilés;Barcelona B
Avilés;Betis
Avilés;Castellón
Avilés;Celta
Avilés;Compostela
Avilés;Dptivo. Coruña
Avilés;Éibar
Avilés;Elche
Avilés;Figueres
Avilés;Las Palmas
Avilés;Levante
Avilés;Lleida
Avilés;Málaga (C.D.)
Avilés;Mérida
Avilés;Murcia
Avilés;Orihuela
Avilés;Palamós
Avilés;Rac. Santander
Avilés;Rayo Vallecano
Avilés;Real Madrid B
Avilés;Sabadell
Avilés;Salamanca
Avilés;Sestao
Avilés;Xerez
Badajoz;Alavés
Badajoz;Albacete
Badajoz;Almería
Badajoz;At. Madrid
Badajoz;At. Madrid B
Badajoz;Ath. Bilbao B
Badajoz;Barcelona B
Badajoz;Betis
Badajoz;Burgos
Badajoz;Burgos (Real)
Badajoz;Cádiz
Badajoz;Castellón
Badajoz;Compostela
Badajoz;Córdoba
Badajoz;Écija
Badajoz;Éibar
Badajoz;Ejido
Badajoz;Elche
Badajoz;Espanyol
Badajoz;Extremadura
Badajoz;Ferrol
Badajoz;Figueres
Badajoz;Getafe
Badajoz;Gimn. Tarragon
Badajoz;Hércules
Badajoz;Jaén
Badajoz;Las Palmas
Badajoz;Leganés
Badajoz;Levante
Badajoz;Lleida
Badajoz;Logroñés
Badajoz;Lugo
Badajoz;Málaga
Badajoz;Mallorca
Badajoz;Mallorca B
Badajoz;Marbella
Badajoz;Mérida
Badajoz;Murcia
Badajoz;Numancia
Badajoz;Osasuna
Badajoz;Ourense
Badajoz;Oviedo
Badajoz;Palamós
Badajoz;Rac. Santander
Badajoz;Rayo Vallecano
Badajoz;Real Madrid B
Badajoz;Rec. Huelva
Badajoz;Sabadell
Badajoz;Salamanca
Badajoz;Sestao
Badajoz;Sevilla
Badajoz;Sporting Gijón
Badajoz;Tenerife
Badajoz;Terrassa
Badajoz;Toledo
Badajoz;Univ.Las Palma
Badajoz;Valladolid
Badajoz;Villarreal
Badajoz;Xerez
Badajoz;Zaragoza
Barakaldo;Alavés
Barakaldo;Algeciras
Barakaldo;Almería (A.D.)
Barakaldo;At. Madrid B
Barakaldo;Barcelona B
Barakaldo;Betis
Barakaldo;Burgos
Barakaldo;Cádiz
Barakaldo;Calvo Sotelo
Barakaldo;Castellón
Barakaldo;Celta
Barakaldo;Ceuta
Barakaldo;Córdoba
Barakaldo;Cult. Leonesa
Barakaldo;Dptivo. Coruña
Barakaldo;Elche
Barakaldo;Ferrol
Barakaldo;Getafe
Barakaldo;Gimn. Tarragon
Barakaldo;Granada
Barakaldo;Hércules
Barakaldo;Jaén
Barakaldo;Levante
Barakaldo;Linares
Barakaldo;Logroñés
Barakaldo;Málaga (C.D.)
Barakaldo;Mallorca
Barakaldo;Murcia
Barakaldo;Osasuna
Barakaldo;Ourense
Barakaldo;Oviedo
Barakaldo;Palencia
Barakaldo;Pontevedra
Barakaldo;Rac. Santander
Barakaldo;Rayo Vallecano
Barakaldo;Real Madrid B
Barakaldo;Rec. Huelva
Barakaldo;Sabadell
Barakaldo;Salamanca
Barakaldo;Sant Andreu
Barakaldo;Sevilla
Barakaldo;Tenerife
Barakaldo;Terrassa
Barakaldo;Valencia B
Barakaldo;Valladolid
Barakaldo;Zaragoza
Barcelona B;Alavés
Barcelona B;Albacete
Barcelona B;Alcorcón
Barcelona B;Alcoyano
Barcelona B;Algeciras
Barcelona B;Almería
Barcelona B;Alzira
Barcelona B;At. Madrid B
Barcelona B;Ath. Bilbao B
Barcelona B;Avilés
Barcelona B;Badajoz
Barcelona B;Barakaldo
Barcelona B;Betis
Barcelona B;Burgos
Barcelona B;Burgos (Real)
Barcelona B;Cádiz
Barcelona B;Calvo Sotelo
Barcelona B;Cartagena
Barcelona B;Cartagena F.C.
Barcelona B;Castellón
Barcelona B;Celta
Barcelona B;Compostela
Barcelona B;Córdoba
Barcelona B;Cult. Leonesa
Barcelona B;Dptivo. Coruña
Barcelona B;Écija
Barcelona B;Éibar
Barcelona B;Elche
Barcelona B;Ensidesa
Barcelona B;Espanyol
Barcelona B;Extremadura
Barcelona B;Figueres
Barcelona B;Getafe
Barcelona B;Gimn. Tarragon
Barcelona B;Girona
Barcelona B;Granada
Barcelona B;Guadalajara
Barcelona B;Hércules
Barcelona B;Huesca
Barcelona B;Jaén
Barcelona B;Las Palmas
Barcelona B;Leganés
Barcelona B;Levante
Barcelona B;Linares
Barcelona B;Llagostera
Barcelona B;Lleida
Barcelona B;Logroñés
Barcelona B;Lorca
Barcelona B;Lugo
Barcelona B;Málaga
Barcelona B;Málaga (C.D.)
Barcelona B;Mallorca
Barcelona B;Mallorca B
Barcelona B;Marbella
Barcelona B;Mérida
Barcelona B;Mirandés
Barcelona B;Mollerussa
Barcelona B;Murcia
Barcelona B;Numancia
Barcelona B;Osasuna
Barcelona B;Ourense
Barcelona B;Oviedo
Barcelona B;Palamós
Barcelona B;Palencia
Barcelona B;Ponferradina
Barcelona B;Pontevedra
Barcelona B;Rac. Santander
Barcelona B;Rayo Vallecano
Barcelona B;Real Madrid B
Barcelona B;Rec. Huelva
Barcelona B;Sabadell
Barcelona B;Salamanca
Barcelona B;Sant Andreu
Barcelona B;Sestao
Barcelona B;Sevilla
Barcelona B;Sporting Gijón
Barcelona B;Tenerife
Barcelona B;Terrassa
Barcelona B;Toledo
Barcelona B;Valencia
Barcelona B;Valladolid
Barcelona B;Villarreal
Barcelona B;Villarreal B
Barcelona B;Xerez
Barcelona B;Zaragoza
Barcelona B;Zaragoza B
Barcelona;Alavés
Barcelona;Albacete
Barcelona;Almería
Barcelona;Almería (A.D.)
Barcelona;At. Madrid
Barcelona;Ath. Bilbao
Barcelona;Betis
Barcelona;Burgos
Barcelona;Burgos (Real)
Barcelona;Cádiz
Barcelona;Castellón
Barcelona;Celta
Barcelona;Compostela
