JORNADA;EQUIPO_VISITANTE
23;Burgos
23;Burgos (Real)
23;Cádiz
23;Calvo Sotelo
23;Cartagena
23;Cartagena F.C.
23;Castellón
23;Celta
23;Compostela
23;Córdoba
23;Cult. Leonesa
23;Dptivo. Coruña
23;Écija
23;Éibar
23;Ejido
23;Elche
23;Ensidesa
23;Espanyol
23;Extremadura
23;Ferrol
23;Figueres
23;Getafe
23;Gimn. Tarragon
23;Girona
23;Granada
23;Granada 74
23;Guadalajara
23;Hércules
23;Huesca
23;Jaén
23;Las Palmas
23;Leganés
23;Levante
23;Linares
23;Llagostera
23;Lleida
23;Logroñés
23;Lorca
23;Lugo
23;Málaga
23;Málaga (C.D.)
23;Málaga B
23;Mallorca
23;Marbella
23;Mérida
23;Mollerussa
23;Murcia
23;Numancia
23;Osasuna
23;Ourense
23;Oviedo
23;Palamós
23;Palencia
23;Ponferradina
23;Pontevedra
23;Rac. Santander
23;Rayo Vallecano
23;Real Madrid
23;Real Madrid B
23;Real Sociedad
23;Rec. Huelva
23;Sabadell
23;Salamanca
23;Sant Andreu
23;Sestao
23;Sevilla
23;Sevilla B
23;Sporting Gijón
23;Tenerife
23;Terrassa
23;Toledo
23;Univ.Las Palma
23;Valencia
23;Valladolid
23;Vecindario
23;Villarreal
23;Villarreal B
23;Xerez
23;Zaragoza
23;Zaragoza B
24;Alavés
24;Albacete
24;Alcorcón
24;Algeciras
24;Alicante
24;Almería
24;Almería (A.D.)
24;Alzira
24;At. Madrid
24;At. Madrid B
24;Ath. Bilbao
24;Ath. Bilbao B
24;Avilés
24;Badajoz
24;Barakaldo
24;Barcelona
24;Barcelona B
24;Betis
24;Burgos
24;Burgos (Real)
24;Cádiz
24;Calvo Sotelo
24;Cartagena
24;Cartagena F.C.
24;Castellón
24;Celta
24;Ceuta
24;Compostela
24;Córdoba
24;Cult. Leonesa
24;Dptivo. Coruña
24;Écija
24;Éibar
24;Ejido
24;Elche
24;Espanyol
24;Extremadura
24;Ferrol
24;Figueres
24;Getafe
24;Gimn. Tarragon
24;Girona
24;Granada
24;Granada 74
24;Hércules
24;Huesca
24;Jaén
24;Las Palmas
24;Leganés
24;Levante
24;Linares
24;Llagostera
24;Lleida
24;Logroñés
24;Lorca
24;Lugo
24;Málaga
24;Málaga (C.D.)
24;Málaga B
24;Mallorca
24;Mallorca B
24;Marbella
24;Mérida
24;Mirandés
24;Murcia
24;Numancia
24;Orihuela
24;Osasuna
24;Ourense
24;Oviedo
24;Palamós
24;Palencia
24;Ponferradina
24;Pontevedra
24;Rac. Santander
24;Rayo Vallecano
24;Real Madrid
24;Real Madrid B
24;Real Sociedad
24;Real Unión
24;Rec. Huelva
24;Sabadell
24;Salamanca
24;Sant Andreu
24;Sestao
24;Sevilla
24;Sevilla B
24;Sporting Gijón
24;Tenerife
24;Terrassa
24;Toledo
24;Valencia
24;Valencia B
24;Valladolid
24;Villarreal
24;Villarreal B
24;Xerez
24;Zaragoza
25;Alavés
25;Albacete
25;Alcorcón
25;Alcoyano
25;Algeciras
25;Almería
25;Almería (A.D.)
25;At. Madrid
25;At. Madrid B
25;Ath. Bilbao
25;Ath. Bilbao B
25;Avilés
25;Badajoz
25;Barakaldo
25;Barcelona
25;Barcelona B
25;Betis
25;Burgos
25;Burgos (Real)
25;Cádiz
25;Calvo Sotelo
25;Cartagena
25;Cartagena F.C.
25;Castellón
25;Celta
25;Compostela
25;Córdoba
25;Cult. Leonesa
25;Dptivo. Coruña
25;Écija
25;Éibar
25;Ejido
25;Elche
25;Ensidesa
25;Espanyol
25;Extremadura
25;Ferrol
25;Figueres
25;Getafe
25;Gimn. Tarragon
25;Girona
25;Granada
25;Guadalajara
25;Hércules
25;Huesca
25;Jaén
25;Las Palmas
25;Leganés
25;Levante
25;Linares
25;Llagostera
25;Lleida
25;Logroñés
25;Lorca
25;Lugo
25;Málaga
25;Málaga (C.D.)
25;Málaga B
25;Mallorca
25;Marbella
25;Mérida
25;Mirandés
25;Mollerussa
25;Murcia
25;Numancia
25;Osasuna
25;Ourense
25;Oviedo
25;Palamós
25;Palencia
25;Ponferradina
25;Pontevedra
25;Rac. Santander
25;Rayo Vallecano
25;Real Madrid
25;Real Madrid B
25;Real Sociedad
25;Rec. Huelva
25;Sabadell
25;Salamanca
25;Sant Andreu
25;Sestao
25;Sevilla
25;Sevilla B
25;Sporting Gijón
25;Tenerife
25;Terrassa
25;Toledo
25;Univ.Las Palma
25;Valencia
25;Valladolid
25;Vecindario
25;Villarreal
25;Villarreal B
25;Xerez
25;Zaragoza
25;Zaragoza B
26;Alavés
26;Albacete
26;Alcorcón
26;Algeciras
26;Alicante
26;Almería
26;Almería (A.D.)
26;Alzira
26;At. Madrid
26;At. Madrid B
26;Ath. Bilbao
26;Ath. Bilbao B
26;Badajoz
26;Barakaldo
26;Barcelona
26;Barcelona B
26;Betis
26;Burgos
26;Burgos (Real)
26;Cádiz
26;Calvo Sotelo
26;Cartagena
26;Cartagena F.C.
26;Castellón
26;Celta
26;Ceuta
26;Compostela
26;Córdoba
26;Cult. Leonesa
26;Dptivo. Coruña
26;Éibar
