idPartido;EquipoLocal;EquipoVisitante;GolesLocal;GolesVisitante;Estadio;idJor
29040;Levante;Salamanca;2;0;Ciudad de Valencia;
29041;Rayo Vallecano;Las Palmas;3;2;Campo de Fútbol de Vallecas;
29042;Real Unión;Elche;0;3;Stadium Gal;
29043;Rec. Huelva;Real Sociedad;2;0;Nuevo Colombino;
29044;Villarreal B;Girona;2;0;;
29045;Celta;Betis;1;1;Balaídos;
29046;Cádiz;Villarreal B;0;0;Ramón de Carranza;
29047;Elche;Castellón;2;0;Martínez Valero;
29048;Gimn. Tarragon;Cartagena;3;2;Nou Estadi;
29049;Girona;Levante;0;4;Municipal de Montilivi;
29050;Huesca;Rec. Huelva;1;2;El Alcoraz;
29051;Las Palmas;Real Unión;2;1;Gran Canaria;
29052;Murcia;Rayo Vallecano;0;3;Enrique Roca de Murcia;
29053;Numancia;Hércules;1;1;Nuevo Los Pajaritos;
29054;Real Sociedad;Albacete;0;0;Reale Arena;
29055;Salamanca;Córdoba;1;0;Pistas del Helmántico;
29056;Albacete;Huesca;0;0;Carlos Belmonte;
29057;Betis;Elche;0;3;Benito Villamarín;
29058;Cartagena;Real Sociedad;1;1;Cartagonova;
29059;Castellón;Las Palmas;2;0;Nuevo Castalia;
29060;Cádiz;Girona;2;0;Ramón de Carranza;
29061;Córdoba;Levante;2;1;Nuevo Arcángel;
29062;Hércules;Salamanca;4;0;José Rico Pérez;
29063;Rayo Vallecano;Gimn. Tarragon;2;3;Campo de Fútbol de Vallecas;
29064;Real Unión;Murcia;2;0;Stadium Gal;
29065;Rec. Huelva;Numancia;1;3;Nuevo Colombino;
29066;Villarreal B;Celta;1;0;;
29067;Celta;Cádiz;2;1;Balaídos;
29068;Elche;Villarreal B;2;3;Martínez Valero;
29069;Gimn. Tarragon;Real Unión;1;2;Nou Estadi;
29070;Girona;Córdoba;2;1;Municipal de Montilivi;
29071;Huesca;Cartagena;0;2;El Alcoraz;
29072;Las Palmas;Betis;1;1;Gran Canaria;
29073;Levante;Hércules;2;1;Ciudad de Valencia;
